report_dt,traffic
2016-07-22,320
2016-07-23,199
2016-07-24,206
2016-07-25,315
2016-07-26,310
2016-07-27,315
2016-07-28,326
2016-07-29,288
2016-07-30,203
2016-07-31,181
2016-08-01,301
2016-08-02,340
2016-08-03,343
2016-08-04,85
2016-08-05,68
2016-08-06,99
2016-08-07,186
2016-08-08,303
2016-08-09,307
2016-08-10,318
2016-08-11,309
2016-08-12,297
2016-08-13,203
2016-08-14,197
2016-08-15,252
2016-08-16,318
2016-08-17,310
2016-08-18,314
2016-08-19,308
2016-08-20,201
2016-08-21,200
2016-08-22,301
2016-08-23,346
2016-08-24,327
2016-08-25,340
2016-08-26,309
2016-08-27,209
2016-08-28,213
2016-08-29,295
2016-08-30,327
2016-08-31,311
2016-09-01,317
2016-09-02,298
2016-09-03,202
2016-09-04,202
2016-09-05,240
2016-09-06,312
2016-09-07,330
2016-09-08,355
2016-09-09,321
2016-09-10,213
2016-09-11,216
2016-09-12,329
2016-09-13,348
2016-09-14,335
2016-09-15,314
2016-09-16,307
2016-09-17,212
2016-09-18,233
2016-09-19,332
2016-09-20,353
2016-09-21,362
2016-09-22,366
2016-09-23,334
2016-09-24,223
2016-09-25,243
2016-09-26,348
2016-09-27,363
2016-09-28,361
2016-09-29,365
2016-09-30,331
2016-10-01,233
2016-10-02,251
2016-10-03,357
2016-10-04,388
2016-10-05,374
2016-10-06,378
2016-10-07,338
2016-10-08,229
2016-10-09,231
2016-10-10,335
2016-10-11,350
2016-10-12,380
2016-10-13,394
2016-10-14,369
2016-10-15,259
2016-10-16,264
2016-10-17,375
2016-10-18,409
2016-10-19,420
2016-10-20,396
2016-10-21,354
2016-10-22,273
2016-10-23,263
2016-10-24,375
2016-10-25,431
2016-10-26,335
2016-10-27,425
2016-10-28,365
2016-10-29,237
2016-10-30,237
2016-10-31,358
2016-11-01,362
2016-11-02,383
2016-11-03,396
2016-11-04,351
2016-11-05,236
2016-11-06,253
2016-11-07,393
2016-11-08,404
2016-11-09,353
2016-11-10,385
2016-11-11,331
2016-11-12,241
2016-11-13,256
2016-11-14,378
2016-11-15,407
2016-11-16,409
2016-11-17,389
2016-11-18,366
2016-11-19,250
2016-11-20,259
2016-11-21,383
2016-11-22,423
2016-11-23,399
2016-11-24,345
2016-11-25,318
2016-11-26,253
2016-11-27,286
2016-11-28,408
2016-11-29,419
2016-11-30,416
2016-12-01,414
2016-12-02,391
2016-12-03,276
2016-12-04,273
2016-12-05,416
2016-12-06,435
2016-12-07,424
2016-12-08,405
2016-12-09,351
2016-12-10,277
2016-12-11,277
2016-12-12,366
2016-12-13,396
2016-12-14,389
2016-12-15,368
2016-12-16,347
2016-12-17,268
2016-12-18,227
2016-12-19,337
2016-12-20,368
2016-12-21,357
2016-12-22,330
2016-12-23,264
2016-12-24,207
2016-12-25,171
2016-12-26,239
2016-12-27,297
2016-12-28,302
2016-12-29,319
2016-12-30,267
2016-12-31,213
2017-01-01,166
2017-01-02,277
2017-01-03,345
2017-01-04,367
2017-01-05,360
2017-01-06,361
2017-01-07,279
2017-01-08,295
2017-01-09,370
2017-01-10,383
2017-01-11,369
2017-01-12,377
2017-01-13,359
2017-01-14,235
2017-01-15,229
2017-01-16,366
2017-01-17,419
2017-01-18,427
2017-01-19,404
2017-01-20,385
2017-01-21,245
2017-01-22,250
2017-01-23,400
2017-01-24,436
2017-01-25,414
2017-01-26,354
2017-01-27,377
2017-01-28,259
2017-01-29,269
2017-01-30,405
2017-01-31,441
2017-02-01,436
2017-02-02,436
2017-02-03,410
2017-02-04,298
2017-02-05,277
2017-02-06,416
2017-02-07,476
2017-02-08,484
2017-02-09,482
2017-02-10,430
2017-02-11,326
2017-02-12,327
2017-02-13,474
2017-02-14,493
2017-02-15,491
2017-02-16,512
2017-02-17,479
2017-02-18,365
2017-02-19,330
2017-02-20,609
2017-02-21,591
2017-02-22,578
2017-02-23,585
2017-02-24,540
2017-02-25,375
2017-02-26,357
2017-02-27,553
2017-02-28,598
2017-03-01,587
2017-03-02,552
2017-03-03,518
2017-03-04,342
2017-03-05,362
2017-03-06,544
2017-03-07,577
2017-03-08,557
2017-03-09,562
2017-03-10,547
2017-03-11,348
2017-03-12,344
2017-03-13,516
2017-03-14,573
2017-03-15,590
2017-03-16,582
2017-03-17,550
2017-03-18,364
2017-03-19,400
2017-03-20,592
2017-03-21,635
2017-03-22,641
2017-03-23,622
2017-03-24,562
2017-03-25,371
2017-03-26,356
2017-03-27,562
2017-03-28,620
2017-03-29,613
2017-03-30,602
2017-03-31,567
2017-04-01,436
2017-04-02,405
2017-04-03,597
2017-04-04,613
2017-04-05,607
2017-04-06,616
2017-04-07,553
2017-04-08,382
2017-04-09,392
2017-04-10,613
2017-04-11,639
2017-04-12,617
2017-04-13,592
2017-04-14,462
2017-04-15,354
2017-04-16,364
2017-04-17,522
2017-04-18,646
2017-04-19,645
2017-04-20,635
2017-04-21,590
2017-04-22,399
2017-04-23,415
2017-04-24,644
2017-04-25,717
2017-04-26,684
2017-04-27,664
2017-04-28,572
2017-04-29,399
2017-04-30,385
2017-05-01,537
2017-05-02,641
2017-05-03,671
2017-05-04,671
2017-05-05,582
2017-05-06,417
2017-05-07,404
2017-05-08,643
2017-05-09,661
2017-05-10,693
2017-05-11,643
2017-05-12,605
2017-05-13,443
2017-05-14,391
2017-05-15,626
2017-05-16,681
2017-05-17,686
2017-05-18,705
2017-05-19,661
2017-05-20,481
2017-05-21,431
2017-05-22,685
2017-05-23,720
2017-05-24,732
2017-05-25,668
2017-05-26,621
2017-05-27,409
2017-05-28,402
2017-05-29,619
2017-05-30,702
2017-05-31,712
2017-06-01,694
2017-06-02,617
2017-06-03,406
2017-06-04,369
2017-06-05,620
2017-06-06,727
2017-06-07,743
2017-06-08,723
2017-06-09,662
2017-06-10,410
2017-06-11,387
2017-06-12,690
2017-06-13,787
2017-06-14,759
2017-06-15,711
2017-06-16,682
2017-06-17,414
2017-06-18,373
2017-06-19,688
2017-06-20,762
2017-06-21,729
2017-06-22,734
2017-06-23,658
2017-06-24,396
2017-06-25,367
2017-06-26,587
2017-06-27,730
2017-06-28,720
2017-06-29,696
2017-06-30,655
