report_dt,traffic
2016-03-21,295
2016-03-22,219
2016-03-23,196
2016-03-24,177
2016-03-25,186
2016-03-26,158
2016-03-27,137
2016-03-28,184
2016-03-29,205
2016-03-30,199
2016-03-31,169
2016-04-01,196
2016-04-02,182
2016-04-03,148
2016-04-04,253
2016-04-05,280
2016-04-06,288
2016-04-07,383
2016-04-08,290
2016-04-09,484
2016-04-10,281
2016-04-11,339
2016-04-12,558
2016-04-13,345
2016-04-14,304
2016-04-15,260
2016-04-16,219
2016-04-17,285
2016-04-18,338
2016-04-19,337
2016-04-20,567
2016-04-21,472
2016-04-22,441
2016-04-23,846
2016-04-24,644
2016-04-25,481
2016-04-26,339
2016-04-27,333
2016-04-28,462
2016-04-29,650
2016-04-30,480
2016-05-01,520
2016-05-02,432
2016-05-03,323
2016-05-04,290
2016-05-05,270
2016-05-06,234
2016-05-07,190
2016-05-08,191
2016-05-09,296
2016-05-10,265
2016-05-11,240
2016-05-12,248
2016-05-13,306
2016-05-14,331
2016-05-15,282
2016-05-16,313
2016-05-17,270
2016-05-18,247
2016-05-19,264
2016-05-20,289
2016-05-21,391
2016-05-22,234
2016-05-23,263
2016-05-24,283
2016-05-25,240
2016-05-26,234
2016-05-27,254
2016-05-28,425
2016-05-29,297
2016-05-30,291
2016-05-31,245
2016-06-01,215
2016-06-02,216
2016-06-03,187
2016-06-04,131
2016-06-05,155
2016-06-06,179
2016-06-07,178
2016-06-08,195
2016-06-09,185
2016-06-10,177
2016-06-11,148
2016-06-12,145
2016-06-13,204
2016-06-14,179
2016-06-15,231
2016-06-16,233
2016-06-17,220
2016-06-18,193
2016-06-19,167
2016-06-20,212
2016-06-21,209
2016-06-22,222
2016-06-23,211
2016-06-24,194
2016-06-25,157
2016-06-26,173
2016-06-27,200
2016-06-28,232
2016-06-29,227
2016-06-30,198
2016-07-01,246
2016-07-02,185
2016-07-03,159
2016-07-04,192
2016-07-05,214
2016-07-06,230
2016-07-07,211
2016-07-08,201
2016-07-09,312
2016-07-10,200
2016-07-11,258
2016-07-12,259
2016-07-13,242
2016-07-14,292
2016-07-15,664
2016-07-16,901
2016-07-17,396
2016-07-18,343
2016-07-19,305
2016-07-20,355
2016-07-21,620
2016-07-22,611
2016-07-23,982
2016-07-24,753
2016-07-25,472
2016-07-26,299
2016-07-27,251
2016-07-28,280
2016-07-29,232
2016-07-30,197
2016-07-31,187
2016-08-01,245
2016-08-02,320
2016-08-03,265
2016-08-04,226
2016-08-05,205
2016-08-06,201
2016-08-07,193
2016-08-08,273
2016-08-09,293
2016-08-10,386
2016-08-11,427
2016-08-12,376
2016-08-13,238
2016-08-14,202
2016-08-15,237
2016-08-16,294
2016-08-17,269
2016-08-18,250
2016-08-19,236
2016-08-20,267
2016-08-21,206
2016-08-22,323
2016-08-23,341
2016-08-24,433
2016-08-25,415
2016-08-26,362
2016-08-27,519
2016-08-28,573
2016-08-29,414
2016-08-30,287
2016-08-31,264
2016-09-01,432
2016-09-02,398
2016-09-03,255
2016-09-04,267
2016-09-05,298
2016-09-06,360
2016-09-07,405
2016-09-08,323
2016-09-09,520
2016-09-10,424
2016-09-11,523
2016-09-12,453
2016-09-13,344
2016-09-14,289
2016-09-15,268
2016-09-16,286
2016-09-17,281
2016-09-18,300
2016-09-19,320
2016-09-20,342
2016-09-21,323
2016-09-22,357
2016-09-23,450
2016-09-24,694
2016-09-25,673
2016-09-26,583
2016-09-27,479
2016-09-28,465
2016-09-29,415
2016-09-30,427
2016-10-01,376
2016-10-02,443
2016-10-03,432
2016-10-04,318
2016-10-05,278
2016-10-06,275
2016-10-07,250
2016-10-08,273
2016-10-09,264
2016-10-10,346
2016-10-11,289
2016-10-12,307
2016-10-13,321
2016-10-14,531
2016-10-15,612
2016-10-16,294
2016-10-17,386
2016-10-18,371
2016-10-19,500
2016-10-20,532
2016-10-21,780
2016-10-22,596
2016-10-23,573
2016-10-24,465
2016-10-25,320
2016-10-26,317
2016-10-27,346
2016-10-28,256
2016-10-29,185
2016-10-30,191
2016-10-31,228
2016-11-01,284
2016-11-02,282
2016-11-03,279
2016-11-04,302
2016-11-05,285
2016-11-06,267
2016-11-07,329
2016-11-08,283
2016-11-09,283
2016-11-10,293
2016-11-11,249
2016-11-12,188
2016-11-13,198
2016-11-14,285
2016-11-15,341
2016-11-16,352
2016-11-17,452
2016-11-18,397
2016-11-19,549
2016-11-20,329
2016-11-21,356
2016-11-22,294
2016-11-23,462
2016-11-24,398
2016-11-25,328
2016-11-26,615
2016-11-27,296
2016-11-28,350
2016-11-29,340
2016-11-30,319
2016-12-01,319
2016-12-02,359
2016-12-03,465
2016-12-04,294
2016-12-05,326
2016-12-06,325
2016-12-07,317
2016-12-08,309
2016-12-09,298
2016-12-10,325
2016-12-11,248
2016-12-12,286
2016-12-13,274
2016-12-14,472
2016-12-15,545
2016-12-16,351
2016-12-17,525
2016-12-18,530
2016-12-19,430
2016-12-20,349
2016-12-21,319
2016-12-22,309
2016-12-23,253
2016-12-24,215
2016-12-25,215
2016-12-26,311
2016-12-27,318
2016-12-28,299
2016-12-29,322
2016-12-30,303
2016-12-31,238
2017-01-01,193
2017-01-02,404
2017-01-03,466
2017-01-04,612
2017-01-05,544
2017-01-06,487
2017-01-07,747
2017-01-08,439
2017-01-09,495
2017-01-10,420
2017-01-11,450
2017-01-12,418
2017-01-13,338
2017-01-14,306
2017-01-15,519
2017-01-16,553
2017-01-17,461
2017-01-18,394
2017-01-19,322
2017-01-20,316
2017-01-21,273
2017-01-22,240
2017-01-23,325
2017-01-24,333
2017-01-25,310
2017-01-26,229
2017-01-27,310
2017-01-28,363
2017-01-29,251
2017-01-30,439
2017-01-31,342
2017-02-01,339
2017-02-02,370
2017-02-03,320
2017-02-04,439
2017-02-05,409
2017-02-06,378
2017-02-07,338
2017-02-08,309
2017-02-09,449
2017-02-10,655
2017-02-11,423
2017-02-12,268
2017-02-13,374
2017-02-14,322
2017-02-15,331
2017-02-16,306
2017-02-17,274
2017-02-18,307
2017-02-19,481
2017-02-20,469
2017-02-21,406
2017-02-22,432
2017-02-23,1170
2017-02-24,866
2017-02-25,812
2017-02-26,486
2017-02-27,488
2017-02-28,448
2017-03-01,470
2017-03-02,459
2017-03-03,412
2017-03-04,452
2017-03-05,369
2017-03-06,389
2017-03-07,364
2017-03-08,329
2017-03-09,367
2017-03-10,365
2017-03-11,273
2017-03-12,241
2017-03-13,300
2017-03-14,382
2017-03-15,422
2017-03-16,406
2017-03-17,435
2017-03-18,578
2017-03-19,369
2017-03-20,454
2017-03-21,463
2017-03-22,451
2017-03-23,391
2017-03-24,380
2017-03-25,430
2017-03-26,360
2017-03-27,441
2017-03-28,450
2017-03-29,412
2017-03-30,650
2017-03-31,613
2017-04-01,582
2017-04-02,767
2017-04-03,662
2017-04-04,522
2017-04-05,528
2017-04-06,440
2017-04-07,393
2017-04-08,541
2017-04-09,471
2017-04-10,520
2017-04-11,455
2017-04-12,443
2017-04-13,402
2017-04-14,358
2017-04-15,450
2017-04-16,468
2017-04-17,566
2017-04-18,513
2017-04-19,721
2017-04-20,838
2017-04-21,635
2017-04-22,490
2017-04-23,477
2017-04-24,532
2017-04-25,551
2017-04-26,440
2017-04-27,410
2017-04-28,404
2017-04-29,465
2017-04-30,534
2017-05-01,445
2017-05-02,422
2017-05-03,384
2017-05-04,408
2017-05-05,400
2017-05-06,299
2017-05-07,237
2017-05-08,337
2017-05-09,348
2017-05-10,376
2017-05-11,326
2017-05-12,299
2017-05-13,254
2017-05-14,211
2017-05-15,305
2017-05-16,306
2017-05-17,301
2017-05-18,315
2017-05-19,309
2017-05-20,263
2017-05-21,204
2017-05-22,291
2017-05-23,307
2017-05-24,295
2017-05-25,289
2017-05-26,247
2017-05-27,241
2017-05-28,220
2017-05-29,402
2017-05-30,453
2017-05-31,409
2017-06-01,441
2017-06-02,386
2017-06-03,302
2017-06-04,208
2017-06-05,377
2017-06-06,426
2017-06-07,418
2017-06-08,345
2017-06-09,484
2017-06-10,331
2017-06-11,239
2017-06-12,393
2017-06-13,621
2017-06-14,529
2017-06-15,434
2017-06-16,380
2017-06-17,331
2017-06-18,295
2017-06-19,497
2017-06-20,454
2017-06-21,501
2017-06-22,806
2017-06-23,496
2017-06-24,391
2017-06-25,335
2017-06-26,414
2017-06-27,567
2017-06-28,503
2017-06-29,497
2017-06-30,553
